ID No,X,Y,pH,EC ,%OC,AN,P205,K2O
1,79.531578,18.099525,6.62,0.14,0.26,89,71,180
2,79.5365,18.100625,6.66,0.15,0.23,95,74,197
3,79.539272,18.103497,6.68,0.14,0.28,98,75,180
4,79.537644,18.106128,6.68,0.15,0.22,85,75,180
5,79.533642,18.100042,6.66,0.15,0.27,79,70,200
6,79.534253,18.103303,6.69,0.16,0.27,88,72,191
7,79.526567,18.097978,6.69,0.15,0.22,97,66,190
8,79.535358,18.106544,6.62,0.14,0.22,90,60,195
9,79.529431,18.097614,6.69,0.16,0.23,94,65,184
10,79.530211,18.100442,6.66,0.15,0.3,98,74,185
11,79.532103,18.102969,6.69,0.14,0.29,92,68,185
12,79.537025,18.103633,6.69,0.15,0.22,83,70,189
13,79.533247,18.105189,6.66,0.15,0.24,80,60,181
14,79.527378,18.096119,6.66,0.16,0.3,93,60,186
15,79.528289,18.100114,6.68,0.18,0.22,79,75,186
16,79.529339,18.102569,6.66,0.18,0.28,97,75,189
17,79.531231,18.104789,6.69,0.17,0.27,90,68,188
18,79.532442,18.106822,6.69,0.18,0.27,90,73,183
19,79.533178,18.109025,6.68,0.16,0.25,94,71,186
20,79.526086,18.095861,6.63,0.15,0.22,96,69,186
21,79.524864,18.095539,6.69,0.17,0.25,79,66,184
22,79.525339,18.097683,6.69,0.16,0.22,92,75,195
23,79.526503,18.099522,6.68,0.18,0.22,90,72,196
24,79.527747,18.101706,6.69,0.17,0.22,91,69,180
25,79.528936,18.103978,6.69,0.17,0.3,82,60,200
26,79.530269,18.105667,6.66,0.18,0.3,89,60,181
27,79.531406,18.107383,6.7,0.14,0.22,94,75,182
28,79.532128,18.109653,7.42,1.01,0.39,105,110,205
29,79.523858,18.094992,6.71,0.22,0.29,79,75,186
30,79.524194,18.097533,6.71,0.2,0.26,79,66,186
31,79.522781,18.094525,6.72,0.22,0.23,78,60,180
32,79.522839,18.096886,6.72,0.22,0.24,90,68,181
33,79.523497,18.099211,6.68,0.24,0.27,92,61,185
34,79.524844,18.100186,6.68,0.23,0.3,89,72,188
35,79.526333,18.102025,6.69,0.23,0.22,85,76,190
36,79.524022,18.102233,6.72,0.2,0.24,81,71,190
37,79.525308,18.104161,7.11,0.57,0.51,150,140,291
38,79.527428,18.104214,6.72,0.2,0.29,88,70,194
39,79.526061,18.106439,7.11,0.57,0.55,133,139,299
40,79.527433,18.106294,7.12,0.58,0.53,148,140,295
41,79.529011,18.106422,7.12,0.57,0.49,139,140,300
42,79.52675,18.108811,7.43,1.02,0.36,110,108,276
43,79.528506,18.109242,7.43,1.02,0.38,118,99,280
44,79.529922,18.109056,7.44,1.02,0.4,119,100,280
45,79.531547,18.111617,7.44,1.04,0.4,105,100,280
46,79.52775,18.111814,7.42,1.04,0.37,109,106,269
47,79.52965,18.111531,7.43,1.05,0.36,111,96,271
48,79.533172,18.112628,7.45,1.04,0.4,115,90,241
49,79.528803,18.114492,7.45,1.06,0.36,118,110,222
50,79.530517,18.113842,7.45,1.05,0.4,106,110,280
51,79.532139,18.114019,7.46,1.04,0.38,111,99,210
52,79.53425,18.115314,7.46,1.06,0.4,110,92,241
53,79.529867,18.117647,7.43,1.05,0.38,109,96,233
54,79.530303,18.115842,7.48,1.07,0.37,119,103,219
55,79.531497,18.115908,7.48,1.03,0.39,119,105,264
56,79.533267,18.116056,7.48,1.04,0.4,102,105,280
57,79.531417,18.117558,7.48,1.09,0.4,107,101,271
58,79.521733,18.094258,6.71,0.21,0.3,89,66,181
59,79.521878,18.096583,6.72,0.22,0.3,98,71,188
60,79.522381,18.099161,6.73,0.22,0.22,95,75,200
61,79.520172,18.094261,6.77,0.18,0.25,97,63,180
62,79.520739,18.096697,6.69,0.18,0.28,90,75,180
63,79.5212,18.098342,6.68,0.19,0.24,86,68,180
64,79.521864,18.100444,6.72,0.19,0.25,98,60,200
65,79.523558,18.101244,6.74,0.22,0.23,98,75,185
66,79.522856,18.102483,7.12,0.58,0.55,144,125,290
67,79.5241,18.103875,7.11,0.58,0.51,147,133,318
68,79.523517,18.105156,7.13,0.58,0.49,136,138,318
69,79.525058,18.105603,7.15,0.6,0.54,150,127,333
70,79.524419,18.106933,7.15,0.58,0.48,150,140,350
71,79.525486,18.109194,7.45,1.12,0.39,107,110,215
72,79.526325,18.111603,7.45,1.12,0.37,119,97,260
73,79.527058,18.114089,7.45,1.13,0.37,117,99,241
74,79.528242,18.115967,7.45,1.09,0.4,105,101,221
75,79.518792,18.093575,6.77,0.21,0.26,91,75,181
76,79.519167,18.095836,6.77,0.2,0.26,95,74,180
77,79.51975,18.098875,6.78,0.2,0.3,90,71,180
78,79.520453,18.100692,6.78,0.21,0.28,91,69,200
79,79.521297,18.102486,7.15,0.6,0.55,138,129,300
80,79.522411,18.104194,7.11,0.6,0.45,140,129,306
81,79.521492,18.105222,7.14,0.61,0.52,146,137,370
82,79.522675,18.106478,7.11,0.61,0.54,138,140,299
83,79.523633,18.108314,7.48,1.12,0.4,119,100,280
84,79.524633,18.110567,7.48,1.12,0.37,105,110,260
85,79.525261,18.112803,7.49,1.04,0.39,116,99,260
86,79.517719,18.093567,6.79,0.22,0.23,96,75,199
87,79.518011,18.096375,6.77,0.21,0.29,91,66,200
88,79.518725,18.098819,6.79,0.21,0.27,98,71,180
89,79.519339,18.10105,7.15,0.63,0.5,131,139,299
90,79.520117,18.103264,7.15,0.64,0.53,139,125,299
91,79.520525,18.105522,7.14,0.64,0.55,140,125,320
92,79.521683,18.107353,7.14,0.63,0.46,149,133,333
93,79.522808,18.109542,7.53,1.12,0.36,111,110,210
94,79.524117,18.1117,7.53,1.14,0.39,106,110,200
95,79.523003,18.111697,7.52,1.1,0.36,113,109,200
96,79.52335,18.113883,7.54,1.1,0.4,111,101,233
97,79.524361,18.113467,7.52,1.12,0.4,119,99,257
98,79.524206,18.116208,7.53,1.12,0.37,110,101,255
99,79.525403,18.115958,7.55,1.11,0.4,112,107,255
100,79.526825,18.116272,7.54,1.14,0.38,108,99,270
101,79.516411,18.093458,6.78,0.28,0.3,98,73,180
102,79.515347,18.093528,6.77,0.28,0.3,93,63,180
103,79.513858,18.093667,6.75,0.28,0.3,79,66,185
104,79.513172,18.094278,6.75,0.3,0.22,88,71,183
105,79.513817,18.095917,6.78,0.23,0.27,89,71,180
106,79.515092,18.095497,6.77,0.31,0.26,79,71,200
107,79.51615,18.09515,6.69,0.3,0.28,97,62,191
108,79.517786,18.095583,6.69,0.31,0.22,81,75,190
109,79.517025,18.097192,6.77,0.28,0.23,89,60,190
110,79.517856,18.099983,7.19,0.66,0.46,150,135,311
111,79.518786,18.102386,7.19,0.66,0.48,144,135,360
112,79.519289,18.104283,7.18,0.61,0.55,133,123,350
113,79.519939,18.106547,7.2,0.66,0.52,139,129,355
114,79.520925,18.108414,7.2,0.61,0.54,145,132,380
115,79.521886,18.109906,7.55,1.18,0.38,119,98,232
116,79.519992,18.108725,7.2,0.61,0.47,150,140,360
117,79.521058,18.110619,7.56,1.16,0.4,112,100,222
118,79.522033,18.112403,7.55,1.18,0.38,115,92,220
119,79.515919,18.097153,6.79,0.29,0.29,98,75,190
120,79.517453,18.099194,7.18,0.62,0.49,143,125,362
121,79.5167,18.099333,7.19,0.61,0.47,143,137,295
122,79.517422,18.101431,7.16,0.66,0.47,140,140,371
123,79.518369,18.103442,7.17,0.63,0.55,150,140,311
124,79.518969,18.10575,7.17,0.63,0.53,139,128,300
125,79.515253,18.097339,6.77,0.31,0.28,95,75,180
